koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
CONFIRMED,54.4183827,162.51384,0.586,4.507,874.8,2.83,443,9.11,25.8,5455,4.467,0.927,291.93422999999996,48.141651,15.347000000000001
FALSE POSITIVE,19.89913995,175.850252,0.9690000000000001,1.7822,10829.0,14.6,638,39.3,76.3,5853,4.544,0.868,297.00482,48.134128999999994,15.436
FALSE POSITIVE,1.7369524530000002,170.30756499999998,1.276,2.4064099999999997,8079.2,33.46,1395,891.96,505.6,5805,4.564,0.7909999999999999,285.53461,48.28521,15.597000000000001
CONFIRMED,2.525591777,171.59555,0.701,1.6545,603.3,2.75,1406,926.16,40.9,6031,4.438,1.046,288.75487999999996,48.2262,15.509
CONFIRMED,4.13443512,172.97937,0.762,3.1402,686.0,2.77,1160,427.65,40.2,6046,4.486000000000001,0.972,296.28612999999996,48.22467,15.714
CONFIRMED,2.56658897,179.55437,0.755,2.4290000000000003,226.5,1.59,1360,807.74,15.0,6046,4.486000000000001,0.972,296.28612999999996,48.22467,15.714
CONFIRMED,16.06864674,173.621937,0.052000000000000005,3.5347,4914.3,5.76,600,30.75,161.9,5031,4.485,0.848,286.99948,48.37579,15.841
CONFIRMED,2.470613377,122.763305,0.818,1.7431900000000002,14231.0,13.04,1339,761.46,4304.3,5820,4.457,0.9640000000000001,286.80847,49.316399,11.338
CONFIRMED,2.2047354169999998,121.35854170000002,0.22399999999999998,3.88864,6674.7,16.1,2048,4148.92,5945.9,6440,4.019,1.952,292.24728,47.969521,10.463
CONFIRMED,3.5224984289999997,121.1194228,0.631,3.19843,9145.7,14.59,1521,1264.67,1741.5,6225,4.169,1.4509999999999998,281.28812,42.45108,13.562999999999999
CONFIRMED,3.709214104,133.98318,0.051,2.6302,131.1,1.16,1206,500.46,50.6,5833,4.407,1.022,295.64871,48.49556,12.772
FALSE POSITIVE,11.52144606,170.839688,2.483,3.6399,17984.0,150.51,753,75.88,622.1,5795,4.553999999999999,0.848,297.07993,47.597401,15.472000000000001
FALSE POSITIVE,19.22138894,184.5521637,1.065,4.798430000000001,74284.0,49.29,698,55.97,2317.0,6117,4.496,0.9470000000000001,295.81453999999997,47.69035,15.341
FALSE POSITIVE,16.46983774,180.881761,0.292,9.4378,10479.0,7.94,595,29.61,303.4,5152,4.5169999999999995,0.7859999999999999,297.15442,47.668701,15.788
CONFIRMED,9.27358173,173.25815500000002,0.387,3.2875,1288.3,2.47,649,41.85,87.2,4856,4.583,0.696,288.13824,47.724449,15.302
CONFIRMED,6.02930329,171.602959,0.258,1.5821,1912.7,2.85,678,50.04,65.4,4537,4.648,0.672,283.71088,47.86327,15.784
FALSE POSITIVE,2.6963706519999997,170.73769,0.044000000000000004,3.6129,397.9,1.58,1066,305.34,48.2,4989,4.504,0.8190000000000001,283.76547,47.804297999999996,15.269
CONFIRMED,3.94105221,136.08661999999998,0.226,2.5984,363.3,1.7,1018,253.15,28.9,5185,4.44,0.91,292.37613,47.880989,15.415999999999999
FALSE POSITIVE,386.6030528,166.342079,0.9765,6.8057,24927.0,41.5,297,1.84,994.0,5543,4.081,1.58,292.27374,37.671558000000005,12.394
CONFIRMED,21.67699193,171.53593999999998,0.8959999999999999,3.4555,857.2,2.95,530,18.64,34.3,4954,4.5,0.828,290.46512,47.92918,15.377
CONFIRMED,4.99677968,171.74208000000002,0.71,2.1717,934.7,2.78,917,166.95,28.2,5339,4.552,0.847,297.80826,47.946671,15.860999999999999
CONFIRMED,4.280963604,171.89659,0.424,2.875,750.8,2.3,1012,247.87,61.8,5644,4.564,0.831,294.26581,49.314091,15.356
FALSE POSITIVE,1.50635409,170.998064,0.86,1.5155,2211.7,4.53,1452,1054.12,181.1,5714,4.563,0.831,295.66522000000003,49.351009000000005,15.525
FALSE POSITIVE,670.645531,209.04355,0.701,53.412,18091.0,14.14,196,0.35,642.7,5520,4.466,0.983,296.69861000000003,49.316479,15.207
FALSE POSITIVE,61.256362800000005,173.83826000000002,1.248,7.632999999999999,5123.3,39.87,505,15.43,85.3,6144,4.402,1.091,283.72592000000003,49.479519,15.25
CONFIRMED,41.19725502,165.00404,0.045,4.6297,2213.9,3.86,439,8.76,51.2,5031,4.485,0.848,286.99948,48.37579,15.841
CONFIRMED,6.252962248999999,171.30126,0.105,2.5819,1036.9,2.65,823,108.3,47.1,5031,4.485,0.848,286.99948,48.37579,15.841
CONFIRMED,32.62876672,194.1019,0.021,4.7971,1804.8,3.36,506,15.55,80.0,5586,4.56,0.7979999999999999,285.71854,48.505859,15.082
CONFIRMED,91.7732862,193.8378,0.606,6.473,652.0,2.12,359,3.92,19.1,5586,4.56,0.7979999999999999,285.71854,48.505859,15.082
FALSE POSITIVE,2.7012878010000003,170.69579,1.016,3.3827,860.4,6.54,1222,527.81,48.3,5550,4.468,0.91,297.92365,48.777321,15.54
CONFIRMED,4.49876511,171.34905,0.312,3.7362,460.0,2.1,1133,389.62,29.5,6075,4.486000000000001,0.9690000000000001,298.45685,48.791592,15.395
